Date,HomeTeam,AwayTeam,HS,AS,HST,AST,FTHG,FTAG,WRH,WRA,PH,PA,FTR
30/08/14,Chievo,Juventus,7,21,2,3,0,1,0,100,-1,1,A
30/08/14,Roma,Fiorentina,20,10,5,4,2,0,100,0,1,-1,H
31/08/14,Atalanta,Verona,11,9,1,3,0,0,0,0,0,0,D
31/08/14,Cesena,Parma,9,12,5,1,1,0,100,0,1,-1,H
31/08/14,Genoa,Napolri,11,15,5,5,1,2,0,0,-1,0,A
31/08/14,Milan,Lazio,7,19,4,4,3,1,100,0,1,-1,H
31/08/14,Palermo,Sampdoria,8,10,1,3,1,1,0,0,0,0,D
31/08/14,Sassuolo,Cagliari,13,10,5,4,1,1,0,0,0,0,D
31/08/14,Torino,Inter,11,14,2,2,0,0,0,0,0,0,D
31/08/14,Udinese,Empoli,15,13,5,2,2,0,100,0,1,-1,H
13/09/14,Empoli,Roma,17,5,3,2,0,1,0,100,-2,2,A
13/09/14,Juventus,Udinese,18,9,7,1,2,0,100,50,2,0,H
14/09/14,Cagliari,Atalanta,19,7,9,3,1,2,0,50,-1,1,A
14/09/14,Fiorentina,Genoa,22,6,7,1,0,0,0,0,-1,-1,D
14/09/14,Inter,Sassuolo,22,14,11,2,7,0,50,0,1,-1,H
14/09/14,Lazio,Cesena,17,7,6,1,3,0,50,50,0,0,H
14/09/14,Napoli,Chievo,33,8,9,1,0,1,0,50,-1,0,A
14/09/14,Parma,Milan,11,11,3,7,4,5,0,100,-2,2,A
14/09/14,Sampdoria,Torino,8,10,4,0,2,0,50,0,1,-1,H
15/09/14,Verona,Palermo,14,18,5,4,2,1,50,0,1,-1,H
20/09/14,Cesena,Empoli,8,18,5,6,2,2,33,0,0,-2,D
20/09/14,Milan,Juventus,9,14,3,4,0,1,66,100,1,3,A
21/09/14,Atalanta,Fiorentina,23,16,6,6,0,1,33,33,0,0,A
21/09/14,Chievo,Parma,11,12,4,4,2,3,33,33,-1,-1,A
21/09/14,Genoa,Lazio,9,17,4,7,1,0,33,33,0,-1,H
21/09/14,Palermo,Inter,13,13,2,3,1,1,0,33,-1,1,D
21/09/14,Roma,Cagliari,7,9,3,2,2,0,100,0,3,-2,H
21/09/14,Sassuolo,Sampdoria,14,12,5,3,0,0,0,33,-1,1,D
21/09/14,Torino,Verona,22,11,4,2,0,1,0,66,-2,2,A
21/09/14,Udinese,Napoli,9,10,3,3,1,0,66,0,1,-2,H
23/09/14,Empoli,Milan,13,15,6,6,2,2,0,50,-2,1,D
24/09/14,Cagliari,Torino,11,12,5,4,1,2,0,25,-3,-1,A
24/09/14,Fiorentina,Sassuolo,18,5,2,0,0,0,25,0,0,-1,D
24/09/14,Inter,Atalanta,21,14,6,2,2,0,50,25,2,-1,H
24/09/14,Juventus,Cesena,29,1,13,1,3,0,100,25,4,-1,H
24/09/14,Napoli,Palermo,16,10,8,6,3,3,0,0,-2,-1,D
24/09/14,Parma,Roma,6,13,4,4,1,2,25,100,-2,4,A
24/09/14,Sampdoria,Chievo,16,5,5,3,2,1,50,25,2,-2,H
24/09/14,Verona,Genoa,16,16,7,9,2,2,50,25,2,0,D
25/09/14,Lazio,Udinese,18,5,8,2,0,1,25,75,-2,2,A
27/09/14,Atalanta,Juventus,10,16,1,7,0,3,20,100,-2,5,A
27/09/14,Roma,Verona,23,9,6,3,2,0,100,40,5,1,H
28/09/14,Cesena,Milan,10,11,2,4,1,1,20,40,-1,1,D
28/09/14,Chievo,Empoli,18,6,5,3,1,1,20,0,-2,-2,D
28/09/14,Genoa,Sampdoria,7,10,4,1,0,1,20,60,-1,3,A
28/09/14,Inter,Cagliari,15,16,5,7,1,4,40,20,1,-2,A
28/09/14,Sassuolo,Napoli,11,11,1,3,0,1,0,25,-2,-1,A
28/09/14,Torino,Fiorentina,15,19,3,7,1,1,20,20,-1,0,D
29/09/14,Palermo,Lazio,17,15,4,10,0,4,0,40,-2,-1,A
29/09/14,Udinese,Parma,12,18,5,6,4,2,80,20,3,-3,H
04/10/14,Milan,Chievo,22,10,4,2,2,0,50,16,1,-2,H
04/10/14,Verona,Cagliari,13,19,5,7,1,0,50,16,2,-3,H
05/10/14,Empoli,Palermo,20,7,11,2,3,0,16,0,0,-3,H
05/10/14,Fiorentina,Inter,15,14,8,4,3,0,33,33,2,0,H
05/10/14,Juventus,Roma,20,8,5,2,3,2,100,83,5,3,H
05/10/14,Lazio,Sassuolo,13,12,9,6,3,2,50,0,1,-3,H
05/10/14,Napoli,Torino,24,5,9,2,2,1,40,16,0,-2,H
05/10/14,Parma,Genoa,12,13,3,5,1,2,16,33,-3,1,A
05/10/14,Sampdoria,Atalanta,16,8,3,1,1,0,66,16,4,-3,H
05/10/14,Udinese,Cesena,14,7,3,5,1,1,66,16,2,-2,D
18/10/14,Roma,Chievo,14,11,8,3,3,0,85,14,3,-4,H
18/10/14,Sassuolo,Juventus,7,19,2,7,1,1,0,85,-2,4,D
19/10/14,Atalanta,Parma,18,6,3,1,1,0,28,14,-3,-3,H
19/10/14,Cagliari,Sampdoria,13,13,4,8,2,2,14,57,-2,3,D
19/10/14,Fiorentina,Lazio,15,10,2,5,0,2,28,57,1,1,A
19/10/14,Inter,Napoli,22,12,5,4,2,2,28,33,-1,1,D
19/10/14,Palermo,Cesena,12,4,4,2,2,1,14,14,-1,-2,H
19/10/14,Torino,Udinese,23,11,5,3,1,0,28,57,0,2,H
19/10/14,Verona,Milan,22,12,8,5,1,3,42,57,0,1,A
20/10/14,Genoa,Empoli,13,9,3,4,1,1,28,14,1,1,D
25/10/14,Empoli,Cagliari,9,15,5,6,0,4,12,25,0,0,A
25/10/14,Parma,Sassuolo,11,8,4,3,1,3,12,12,-5,-1,A
25/10/14,Sampdoria,Roma,9,20,2,4,0,0,50,75,3,2,D
26/10/14,Cesena,Inter,8,18,2,6,0,1,12,37,-3,0,A
26/10/14,Chievo,Genoa,13,13,5,4,1,2,12,37,-4,1,A
26/10/14,Juventus,Palermo,20,6,5,1,2,0,87,12,4,-2,H
